Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,year
0 days 00:23:34.328000,LEC,16,0 days 00:02:28.375000,3.0,1.0,,,0 days 00:00:40.921000,0 days 00:00:58.894000,0 days 00:00:48.560000,0 days 00:21:46.874000,0 days 00:22:45.768000,0 days 00:23:34.328000,209.0,231.0,257.0,238.0,False,SOFT,3.0,True,Ferrari,0 days 00:21:05.953000,2019-09-21 13:06:07.057,1,,False,,False,True,2019
0 days 00:25:12.838000,LEC,16,0 days 00:01:38.510000,4.0,1.0,,,0 days 00:00:26.816000,0 days 00:00:37.978000,0 days 00:00:33.716000,0 days 00:24:01.144000,0 days 00:24:39.122000,0 days 00:25:12.838000,316.0,286.0,260.0,304.0,False,SOFT,4.0,True,Ferrari,0 days 00:23:34.328000,2019-09-21 13:08:35.432,1,,False,,False,True,2019
0 days 00:45:05.867000,LEC,16,0 days 00:01:36.930000,7.0,2.0,,,0 days 00:00:26.426000,0 days 00:00:37.397000,0 days 00:00:33.107000,0 days 00:43:55.363000,0 days 00:44:32.760000,0 days 00:45:05.867000,318.0,288.0,267.0,306.0,True,SOFT,2.0,True,Ferrari,0 days 00:43:28.937000,2019-09-21 13:28:30.041,1,,False,,False,True,2019
0 days 00:55:23.432000,LEC,16,0 days 00:01:36.650000,10.0,3.0,,,0 days 00:00:26.497000,0 days 00:00:37.244000,0 days 00:00:32.909000,0 days 00:54:13.279000,0 days 00:54:50.523000,0 days 00:55:23.432000,318.0,288.0,265.0,308.0,True,SOFT,2.0,True,Ferrari,0 days 00:53:46.782000,2019-09-21 13:38:47.886,1,,False,,False,True,2019
0 days 01:07:11.438000,LEC,16,0 days 00:01:36.791000,13.0,4.0,,,0 days 00:00:26.438000,0 days 00:00:37.338000,0 days 00:00:33.015000,0 days 01:06:01.085000,0 days 01:06:38.423000,0 days 01:07:11.438000,318.0,289.0,267.0,308.0,True,SOFT,2.0,True,Ferrari,0 days 01:05:34.647000,2019-09-21 13:50:35.751,1,,False,,False,True,2019
0 days 01:15:20.823000,LEC,16,0 days 00:01:36.217000,16.0,5.0,,,0 days 00:00:26.211000,0 days 00:00:37.127000,0 days 00:00:32.879000,0 days 01:14:10.817000,0 days 01:14:47.944000,0 days 01:15:20.823000,318.0,287.0,265.0,307.0,True,SOFT,2.0,True,Ferrari,0 days 01:13:44.606000,2019-09-21 13:58:45.710,1,,False,,False,True,2019
0 days 01:17:30.864000,LEC,16,0 days 00:02:10.041000,17.0,5.0,,,0 days 00:00:35.342000,0 days 00:00:48.677000,0 days 00:00:46.022000,0 days 01:15:56.165000,0 days 01:16:44.842000,0 days 01:17:30.864000,267.0,214.0,91.0,248.0,False,SOFT,3.0,True,Ferrari,0 days 01:15:20.823000,2019-09-21 14:00:21.927,1,,False,,False,True,2019
0 days 00:21:00.704000,HAM,44,0 days 00:01:38.763000,2.0,1.0,,,0 days 00:00:27.135000,0 days 00:00:37.961000,0 days 00:00:33.667000,0 days 00:19:49.076000,0 days 00:20:27.037000,0 days 00:21:00.704000,312.0,283.0,260.0,300.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:19:21.941000,2019-09-21 13:04:23.045,1,,False,,False,True,2019
0 days 00:31:47.002000,HAM,44,0 days 00:01:37.565000,5.0,2.0,,,0 days 00:00:26.882000,0 days 00:00:37.457000,0 days 00:00:33.226000,0 days 00:30:36.319000,0 days 00:31:13.776000,0 days 00:31:47.002000,314.0,281.0,260.0,301.0,True,SOFT,2.0,True,Mercedes,0 days 00:30:09.437000,2019-09-21 13:15:10.541,1,,False,,False,True,2019
0 days 00:44:55.965000,HAM,44,0 days 00:01:37.061000,8.0,3.0,,,0 days 00:00:26.730000,0 days 00:00:37.288000,0 days 00:00:33.043000,0 days 00:43:45.634000,0 days 00:44:22.922000,0 days 00:44:55.965000,312.0,282.0,264.0,301.0,True,SOFT,2.0,True,Mercedes,0 days 00:43:18.904000,2019-09-21 13:28:20.008,1,,False,,False,True,2019
